,publisher,publisher_address
0,中信出版社,中信
1,后浪丨北京联合出版公司,后浪丨北京联合
2,湖南科学技术出版社,湖南科学技术
3,中信出版集团,中信
4,文汇出版社,文汇
5,辽宁教育出版社,辽宁教育
6,商务印书馆,商务印书馆
7,江苏凤凰科学技术出版社,江苏凤凰科学技术
8,科学出版社,科学
9,浙江人民出版社,浙江人民
10,中信出版集团,中信
11,湖南文艺出版社&博集天卷,湖南文艺
12,云南人民出版社,云南人民
13,中信出版社,中信
14,北京联合出版公司,北京联合
15,上海世纪出版集团,上海世纪
16,湖南科学技术出版社,湖南科学技术
17,东方出版社,东方
18,后浪丨四川美术出版社,后浪丨四川美术
19,后浪丨贵州大学出版社,后浪丨贵州大学
20,中信出版集团,中信
21,后浪丨九州出版社,后浪丨九州
22,中信出版社,中信
23,浙江科学技术出版社,浙江科学技术
24,中信出版集团,中信
25,上海文化出版社,上海文化
26,江西科学技术出版社,江西科学技术
27,中信出版社,中信
28,后浪丨福建教育出版社,后浪丨福建教育
29,北京联合出版公司,北京联合
30,30.00元,30.00元
31,中信出版社,中信
32,文汇出版社,文汇
33,译林出版社,译林
34,上海译文出版社,上海译文
35,民主与建设出版社,民主与建设
36,中信出版集团,中信
37,译林出版社,译林
38,北京联合出版公司,北京联合
39,湖南科学技术出版社,湖南科学技术
40,未读・探索家・北京联合出版公司,未读・探索家・北京联合
41,中信出版集团,中信
42,广西师范大学出版社,广西师范大学
43,博集天卷 | 湖南科学技术出版社,博集天卷 | 湖南科学技术
44,江苏人民出版社,江苏人民
45,中信出版集团股份有限公司,中信
46,清华大学出版社,清华大学
47,人民邮电出版社,人民邮电
48,北京联合出版有限公司,北京联合
49,电子工业出版社,电子工业
50,新星出版社,新星
51,中信出版社／中国国家地理・图书,中信
52,人民邮电出版社,人民邮电
53,上海文艺出版社,上海文艺
54,中信出版集团,中信
55,广西师范大学出版社,广西师范大学
56,海南出版社,海南
57,上海三联书店,上海三联书店
58,天津科学技术出版社,天津科学技术
59,辽宁教育出版社,辽宁教育
60,后浪丨九州出版社,后浪丨九州
61,广西师范大学出版社,广西师范大学
62,天津人民出版社,天津人民
63,人民邮电出版社,人民邮电
64,上海科技教育出版社,上海科技教育
65,中信出版集团,中信
66,中国中医药出版社,中国中医药
67,湖南科学技术出版社,湖南科学技术
68,后浪丨北京联合出版公司,后浪丨北京联合
69,贵州科技出版社,贵州科技
70,一丨广西师范大学出版社,一丨广西师范大学
71,科学普及出版社,科学普及
72,广西师范大学出版社,广西师范大学
73,湖南科学技术出版社,湖南科学技术
74,中信出版社,中信
75,复旦大学出版社,复旦大学
76,北京联合出版公司,北京联合
77,中信出版社,中信
78,广西师范大学出版社,广西师范大学
79,商务印书馆,商务印书馆
80,湖南科学技术出版社,湖南科学技术
81,浦睿文化61湖南文艺出版社,浦睿文化61湖南文艺
82,文汇出版社,文汇
83,中信出版社,中信
84,中信出版集团・见识城邦,中信
85,未读・探索家・北京联合出版公司,未读・探索家・北京联合
86,低音・北京联合出版公司,低音・北京联合
87,人民邮电出版社,人民邮电
88,湖南科学技术出版社,湖南科学技术
89,中信出版集团,中信
90,2020-1-8,2020-1-8
91,低音 61 北京联合出版公司,低音 61 北京联合
92,2017-4,2017-4
93,海南出版社,海南
94,中信出版社,中信
95,接力出版社,接力
96,机械工业出版社,机械工业
97,商务印书馆,商务印书馆
98,湖南科学技术出版社,湖南科学技术
99,人民邮电出版社,人民邮电
100,作家出版社,作家
101,人民邮电出版社,人民邮电
102,生活・读书・新知三联书店,生活・读书・新知三联书店
103,中信出版集团,中信
104,广西科学技术出版社,广西科学技术
105,译林出版社,译林
106,人民邮电出版社,人民邮电
107,后浪丨浙江教育出版社,后浪丨浙江教育
108,中信出版社,中信
109,天津科学技术出版社,天津科学技术
110,湖南科学技术出版社,湖南科学技术
111,中信出版社,中信
112,江西科学技术出版社,江西科学技术
113,新星出版社,新星
114,南海出版公司,南海
115,上海译文出版社,上海译文
116,人民邮电出版社,人民邮电
117,人民邮电出版社,人民邮电
118,后浪丨北京联合出版公司,后浪丨北京联合
119,未读・探索家 天津科学技术出版社,未读・探索家 天津科学技术
